Project	Language Code	Total edits	Total editors	Total pages	Bytes removed (last 30 days)	Bytes added (last 30 days)	Average monthly edits	Average monthly editors
Wikibooks	as	705	35	198	0.0	6.0	5	2
Wikipedia	wal	1257	15	621	-79.0	4123.0	7	2
Wikipedia	ikt	70	2	50	0.0	0.0	70	2
Wikipedia	yua	9277	194	1277	-23.0	39.0	5	2
Wikiquote	si	1569	15	439	-211.0	6167.0	104	2
Wikipedia	ain	1405	71	181	0.0	153.0	30	2
Wikipedia	krl	9252	171	2023	0.0	0.0	2	2
Wikipedia	lou	190	4	60	0.0	0.0	27	2
Wikipedia	bkm	7	2	1	0.0	0.0	7	2
Wiktionary	sat	10681	41	2136	0.0	2114.0	2	2
Wikivoyage	az	776	32	134	0.0	0.0	2	2
Wikipedia	sla	46	7	1	0.0	47.0	2	2
Wikipedia	cop	9712	96	1707	-2137.0	17555.0	102	2
Wikivoyage	hu	775	35	238	-429.0	0.0	6	2
Wikipedia	jpr	3	2	1	0.0	0.0	3	2
Wikiquote	pnb	6493	54	612	0.0	0.0	3	2
Wiktionary	knc	191	4	43	0.0	332.0	63	2
Wikipedia	pau	228	18	47	0.0	0.0	11	2
Wikipedia	bgn	19483	152	7802	0.0	0.0	5	2
Wikivoyage	th	2528	59	328	-13143.0	43341.0	11	2
Wikibooks	ckb	16	9	4	0.0	0.0	6	2
Wikipedia	xkv	132	11	54	0.0	43.0	11	2
Wikipedia	kiu	5252	93	1102	0.0	0.0	4	2
Wikipedia	kzp	176	8	41	0.0	0.0	10	2
Wikipedia	mak	1547	39	410	-55.0	24.0	3	2
Wikipedia	aoa	7	2	2	0.0	0.0	7	2
Wikipedia	tun	203	12	29	-74.0	191.0	28	2
Wikibooks	bcl	176	10	68	-8989.0	33716.0	16	2
Wikipedia	wls	3606	44	784	-129.0	86.0	6	2
Wikiquote	ckb	260	14	62	0.0	0.0	5	2
Wikinews	cdo	6697	40	1065	0.0	0.0	6	2
Wiktionary	ht	1705	37	557	0.0	0.0	46	2
Wikipedia	bcc	5115	94	1932	0.0	86.0	10	2
Wiktionary	mzn	129	17	69	0.0	0.0	2	2
Wikipedia	qug	8455	70	1325	0.0	89.0	8	2
Wiktionary	tyz	23	2	11	0.0	0.0	12	2
Wikivoyage	ca	1859	74	134	0.0	0.0	4	2
Wikivoyage	ko	3855	146	476	-13.0	983.0	11	2
Wikivoyage	si	942	11	294	-156.0	37318.0	59	2
Wikipedia	isk	19	2	13	-19.0	4069.0	19	2
Wikibooks	mni	491	8	250	-2607.0	18720.0	37	2
Wikibooks	syc	18	5	3	0.0	0.0	2	2
Wikipedia	kum	6707	81	838	0.0	202.0	6	2
Wikipedia	na	53587	1074	2292	-102.0	84.0	4	2
Wiktionary	gil	61	2	44	-31.0	28.0	61	2
Wikipedia	ase	1582	36	361	0.0	0.0	2	2
Wikipedia	cho	980	50	126	0.0	113.0	24	2
Wikibooks	ary	5	2	2	0.0	0.0	5	2
Wikivoyage	yue	391	40	134	0.0	0.0	5	2
Wikinews	si	1175	28	372	-36.0	20089.0	94	2
Wikipedia	mxt	740	35	119	-18.0	0.0	2	2
Wikipedia	arq	26892	725	1329	0.0	42.0	4	2
Wiktionary	lrc	8	2	6	0.0	0.0	8	2
Wikipedia	sli	10570	131	1558	-1.0	7559.0	25	2
Wikipedia	cpx	5893	56	2658	-63.0	0.0	3	2
Wikipedia	gju	54	10	9	-47.0	1506.0	6	2
Wikibooks	ht	25	6	10	0.0	0.0	3	2
Wikipedia	yah	38	12	20	-128.0	121.0	2	2
Wikipedia	kpy	29	7	7	0.0	0.0	3	2
Wikinews	rue	6	2	2	-26.0	162.0	6	2
Wikipedia	aa	287	72	49	0.0	5705.0	40	2
Wikipedia	sip	6	3	2	-5.0	74.0	4	2
Wikivoyage	gu	61	10	19	0.0	0.0	5	2
Wikivoyage	ml	1941	64	257	0.0	0.0	11	2
Wikipedia	tzm	5186	115	832	0.0	156.0	2	2
Wikibooks	rue	5	2	2	-23.0	480.0	5	2
Wikipedia	kjh	12595	116	2805	0.0	49.0	4	2
Wikiquote	grc	409	19	56	0.0	0.0	48	2
Wikipedia	lar	3	2	2	0.0	207.0	3	2
Wikiquote	or	1804	42	266	0.0	0.0	4	2
Wikinews	vi	4541	126	1124	0.0	7162.0	4	2
Wikipedia	bto	5179	63	1898	0.0	2287.0	3	2
Wiktionary	zea	9581	53	3249	-146.0	31847.0	37	2
Wikivoyage	da	2954	64	472	0.0	0.0	2	2
Wikivoyage	la	577	21	95	0.0	52.0	2	2
Wikipedia	wsg	1639	13	181	-624.0	38660.0	229	2
Wikipedia	kio	22	8	6	0.0	0.0	1	1
Wikibooks	yi	101	8	15	0.0	0.0	6	1
Wikiquote	dtp	7	3	3	0.0	0.0	1	1
Wikinews	ee	4	2	1	0.0	0.0	1	1
Wikiquote	nap	49	8	17	0.0	0.0	1	1
Wikipedia	lzz	2442	59	798	0.0	0.0	1	1
Wikinews	nap	87	9	25	0.0	0.0	4	1
Wikiquote	tk	4	3	3	0.0	0.0	2	1
Wikipedia	moh	227	17	45	0.0	0.0	1	1
Wikinews	tr	121	14	52	0.0	44.0	1	1
Wiktionary	ilo	29	7	9	-4954.0	0.0	1	1
Wikipedia	ood	162	13	21	0.0	0.0	1	1
Wikipedia	bci	200	13	28	0.0	0.0	1	1
Wiktionary	nap	812	25	472	0.0	0.0	7	1
Wikipedia	btd	86	23	18	0.0	0.0	1	1
Wiktionary	wuu	71267	36	34414	0.0	7114.0	59	1
Wikipedia	cjs	104	27	35	0.0	0.0	1	1
Wikipedia	tkr	39	17	9	0.0	0.0	1	1
Wikipedia	fkv	2864	52	643	0.0	0.0	3	1
Wikivoyage	sk	1464	33	270	0.0	469.0	11	1
Wikipedia	tsg	633	28	157	0.0	0.0	1	1
Wikipedia	gyn	97	7	15	0.0	0.0	1	1
Wikibooks	ban	8	4	6	0.0	0.0	1	1
Wikipedia	wbl	120	21	53	0.0	21.0	1	1
Wikipedia	ist	117	19	26	0.0	7.0	1	1
Wikipedia	yur	19	5	6	0.0	0.0	1	1
Wikiquote	bjn	2159	33	703	0.0	0.0	1	1
Wikinews	bjn	14	5	9	0.0	0.0	1	1
Wikinews	mni	140	9	40	0.0	0.0	1	1
Wikiquote	sva	4	2	3	0.0	0.0	1	1
Wikipedia	mnp	1037	34	368	-3.0	0.0	2	1
Wikinews	tg	803	18	419	0.0	0.0	1	1
Wiktionary	azb	5184	26	3886	0.0	0.0	1	1
Wikipedia	nd	373	40	84	0.0	43.0	3	1
Wikipedia	akk	36	7	7	0.0	0.0	1	1
Wikipedia	bbc	28	13	3	0.0	0.0	2	1
Wiktionary	mnc	22456	25	7695	0.0	0.0	8	1
Wikipedia	pst	17	7	1	0.0	0.0	1	1
Wikipedia	bph	10	5	4	0.0	0.0	1	1
Wiktionary	tay	19	5	12	0.0	0.0	5	1
Wikipedia	chp	28	9	7	0.0	0.0	1	1
Wikivoyage	bg	492	26	127	0.0	86.0	2	1
Wikivoyage	kjh	3	1	3	0.0	0.0	3	1
Wikipedia	tig	330	6	79	0.0	0.0	4	1
Wikipedia	ett	10	5	1	0.0	0.0	1	1
Wikipedia	gvr	20	8	6	0.0	21.0	1	1
Wikibooks	arz	38	8	5	0.0	0.0	1	1
Wikipedia	vmw	3098	104	1011	-1146.0	0.0	10	1
Wikipedia	ii	2799	75	911	-17.0	0.0	3	1
Wikibooks	mh	1	1	1	-500.0	0.0	1	1
Wikiquote	av	38	10	12	0.0	0.0	2	1
Wikipedia	ksk	26	9	7	0.0	0.0	1	1
Wikinews	bcc	39	10	18	0.0	0.0	1	1
Wikiquote	mk	22	4	5	0.0	0.0	1	1
Wikipedia	ltc	8	6	1	0.0	0.0	1	1
Wikinews	km	3	2	1	0.0	0.0	1	1
Wikipedia	mjy	73	5	18	0.0	0.0	1	1
Wikinews	skr	222	20	76	0.0	352.0	1	1
Wiktionary	arn	338	14	51	-904.0	3954.0	27	1
Wikipedia	myr	9	3	3	0.0	0.0	3	1
Wikipedia	aii	61	10	12	0.0	0.0	1	1
Wiktionary	egl	701	15	341	0.0	0.0	1	1
Wikipedia	oac	23	8	8	0.0	0.0	1	1
Wikipedia	phr	246	18	63	-20.0	985.0	59	1
Wiktionary	shi	1567	22	507	0.0	451.0	1	1
Wikipedia	chb	483	9	69	0.0	327.0	34	1
Wikivoyage	ba	416	15	54	0.0	0.0	1	1
Wikipedia	slr	1340	79	418	0.0	86.0	2	1
Wikipedia	crd	61	11	12	0.0	0.0	1	1
Wikipedia	tab	99	32	16	0.0	0.0	1	1
Wikipedia	ess	223	38	76	0.0	0.0	1	1
Wikivoyage	mr	808	23	136	-111.0	0.0	2	1
Wikibooks	agx	1	1	1	0.0	0.0	1	1
Wikipedia	unm	105	13	28	0.0	0.0	1	1
Wikibooks	khw	17	7	10	0.0	0.0	4	1
Wikipedia	yai	902	48	270	0.0	8294.0	19	1
Wikinews	arz	2	2	2	0.0	0.0	1	1
Wikiquote	kge	54	3	20	0.0	0.0	7	1
Wikipedia	lkt	1466	67	321	0.0	0.0	1	1
Wikiquote	rw	18	6	6	0.0	0.0	1	1
Wikipedia	mjd	103	11	18	0.0	0.0	1	1
Wikinews	sah	135	8	31	0.0	0.0	1	1
Wiktionary	aer	72	1	30	0.0	0.0	36	1
Wikipedia	mvf	643	43	106	0.0	26846.0	2	1
Wikipedia	aae	1361	14	369	-16.0	251.0	12	1
Wikipedia	nxq	4	2	2	0.0	0.0	1	1
Wikipedia	pcc	34	13	8	-117.0	998.0	3	1
Wikipedia	bhh	109	12	32	-17.0	22635.0	11	1
Wiktionary	rut	2	1	1	0.0	0.0	2	1
Wikipedia	rmc	7041	35	1718	0.0	0.0	2	1
Wikipedia	bzj	746	18	242	0.0	0.0	8	1
Wikivoyage	as	13	5	4	0.0	0.0	2	1
Wikipedia	sjd	1578	51	305	-7.0	24993.0	4	1
Wikipedia	elm	26	7	8	0.0	0.0	1	1
Wikivoyage	mn	75	8	16	0.0	0.0	5	1
Wikipedia	gdo	218	19	72	0.0	0.0	7	1
Wikivoyage	ur	809	25	284	0.0	0.0	2	1
Wikipedia	udi	51	23	8	0.0	0.0	1	1
Wikipedia	xpq	187	11	38	0.0	0.0	1	1
Wikipedia	jpn	82	21	2	0.0	0.0	1	1
Wikibooks	sat	30	6	12	0.0	0.0	1	1
Wikiquote	an	76	13	36	0.0	0.0	1	1
Wikipedia	kjj	618	26	110	0.0	0.0	1	1
Wikinews	am	21	7	3	0.0	0.0	2	1
Wikipedia	lif	141	21	20	0.0	25.0	1	1
Wikinews	hnd	14	5	4	0.0	0.0	1	1
Wikinews	or	92	8	31	0.0	0.0	5	1
Wikiquote	xmf	89	6	36	0.0	43.0	3	1
Wikinews	wuu	60	9	18	0.0	0.0	1	1
Wikipedia	apj	30	8	7	0.0	0.0	1	1
Wiktionary	ki	67	7	42	0.0	0.0	1	1
Wikipedia	pal	8	4	1	0.0	0.0	1	1
Wiktionary	rad	14	1	10	0.0	0.0	14	1
Wikipedia	bts	8	4	3	0.0	0.0	1	1
Wiktionary	zgh	1033	16	149	0.0	0.0	4	1
Wikipedia	sgy	6	1	5	0.0	402.0	6	1
Wikipedia	cku	45	9	11	0.0	0.0	1	1
Wikipedia	sto	24	6	7	0.0	0.0	1	1
Wikivoyage	lt	90	13	22	0.0	0.0	9	1
Wikipedia	tvx	6050	12	1403	-78.0	0.0	1	1
Wikipedia	hil	8217	77	2143	0.0	44.0	1	1
Wikibooks	or	308	15	6	0.0	0.0	2	1
Wikipedia	zza	28	11	1	0.0	0.0	1	1
Wikipedia	kip	1420	18	158	0.0	21.0	1	1
Wikibooks	yo	7	4	5	0.0	0.0	1	1
Wikiquote	fat	1	1	1	0.0	123.0	1	1
Wikipedia	kzg	14	8	5	0.0	0.0	1	1
Wikinews	fur	6	3	3	0.0	0.0	3	1
Wikinews	ne	853	26	194	0.0	0.0	2	1
Wikipedia	mor	1	1	1	0.0	0.0	1	1
Wikinews	ur	8886	32	4007	-36.0	0.0	1	1
Wikipedia	niv	59	24	8	0.0	0.0	1	1
Wikipedia	osi	929	79	269	0.0	0.0	1	1
Wiktionary	ota	31	12	10	0.0	0.0	5	1
Wikipedia	qxq	171	27	52	0.0	0.0	1	1
Wikipedia	btj	3	2	1	0.0	0.0	1	1
Wikipedia	sel	519	30	140	0.0	0.0	17	1
Wikipedia	cjy	303	22	150	0.0	0.0	2	1
Wikipedia	ssf	3118	57	1450	-25.0	0.0	1	1
Wikivoyage	ku	43	11	9	0.0	0.0	1	1
Wikipedia	tli	119	7	55	0.0	0.0	2	1
Wikipedia	fla	311	18	38	0.0	0.0	1	1
Wikivoyage	sq	85	13	19	0.0	0.0	27	1
Wikipedia	haa	6	2	5	0.0	2188.0	1	1
Wikibooks	bcc	14	6	5	0.0	0.0	1	1
Wikipedia	wep	32	10	14	0.0	0.0	2	1
Wikipedia	zai	205	24	43	0.0	0.0	1	1
Wikibooks	uz	35	16	14	0.0	0.0	1	1
Wikipedia	kut	214	7	52	0.0	0.0	1	1
Wikiquote	mt	11	3	11	0.0	0.0	2	1
Wikipedia	lus	3669	81	755	0.0	899.0	1	1
Wikipedia	mns	694	32	130	0.0	0.0	1	1
Wikinews	th	1206	46	450	0.0	0.0	11	1
Wikipedia	nia	10	6	1	0.0	0.0	2	1
Wikipedia	akz	13852	50	2644	0.0	0.0	1	1
Wiktionary	haw	1206	14	470	0.0	0.0	1	1
Wikipedia	bca	1449	7	900	0.0	0.0	1	1
Wiktionary	mus	65	2	60	-24.0	7226.0	56	1
Wikipedia	pzh	2808	21	563	0.0	0.0	2	1
Wikipedia	saz	51	19	15	0.0	21.0	1	1
Wikivoyage	bxr	4	2	2	0.0	0.0	2	1
Wikipedia	srb	15	6	7	0.0	21.0	1	1
Wikipedia	ctc	120	15	23	0.0	0.0	1	1
Wikivoyage	kk	57	8	19	0.0	4.0	1	1
Wikipedia	tin	33	20	9	0.0	0.0	1	1
Wikipedia	eve	83	17	8	0.0	0.0	1	1
Wikivoyage	ryu	308	15	110	0.0	0.0	3	1
Wikipedia	tmz	8	3	1	0.0	0.0	1	1
Wikipedia	gwc	15	8	5	0.0	0.0	1	1
Wikibooks	mnc	114	7	38	0.0	0.0	9	1
Wikiquote	azb	686	17	294	0.0	0.0	6	1
Wikipedia	ksw	1239	28	364	0.0	0.0	2	1
Wikinews	be	806	20	393	0.0	0.0	7	1
Wikiquote	mnc	65	6	15	0.0	0.0	1	1
Wikinews	ky	29	10	7	0.0	0.0	3	1
Wikipedia	mkn	534	18	180	0.0	0.0	1	1
Wikinews	sva	2	2	1	0.0	0.0	1	1
Wikipedia	mzs	216	12	87	0.0	0.0	1	1
Wiktionary	gcf	190	10	90	0.0	0.0	3	1
Wikipedia	oj	14	5	2	0.0	0.0	1	1
Wikipedia	asb	136	10	27	0.0	0.0	1	1
Wiktionary	mag	38	2	18	0.0	0.0	12	1
Wikipedia	bno	12	4	8	0.0	0.0	4	1
Wiktionary	sn	2786	7	1528	-1306.0	56353.0	69	1
Wikipedia	rut	101	25	14	0.0	0.0	1	1
Wikivoyage	bcl	42	8	19	0.0	0.0	5	1
Wikipedia	smj	266	19	66	-2.0	0.0	2	1
Wikipedia	crg	91	12	22	0.0	0.0	1	1
Wikivoyage	kaa	1	1	1	-37.0	0.0	1	1
Wikipedia	taj	287	20	100	0.0	21.0	1	1
Wikipedia	est	8	4	1	0.0	0.0	2	1
Wikivoyage	ms	276	21	88	0.0	0.0	1	1
Wikibooks	am	12	5	5	0.0	0.0	4	1
Wikivoyage	yi	16	4	5	0.0	0.0	2	1
Wikipedia	vai	180	16	70	-92.0	12726.0	6	1
Wikipedia	ibb	971	29	203	0.0	0.0	2	1
Wikibooks	lad	728	17	353	0.0	21.0	7	1
Wikipedia	yaq	50	10	10	0.0	0.0	1	1
Wikibooks	snd	2	1	2	0.0	0.0	2	1
Wikinews	az	7436	82	2174	0.0	47.0	8	1
Wikiquote	khw	42	8	16	0.0	0.0	6	1
Wikiquote	scn	11	5	4	0.0	0.0	1	1
Wikipedia	mjw	13	3	4	0.0	21.0	1	1
Wiktionary	alu	1	1	1	0.0	0.0	1	1
Wikipedia	mwv	139	21	27	0.0	0.0	1	1
Wiktionary	den	412	8	172	0.0	0.0	1	1
Wikipedia	nys	13317	132	797	-3.0	3.0	14	1
Wikipedia	arp	96	13	26	0.0	0.0	1	1
Wiktionary	lfn	546	12	130	0.0	0.0	1	1
Wikipedia	pdt	1791	61	322	0.0	0.0	4	1
Wikipedia	rmq	40	5	8	-97.0	5915.0	24	1
Wikipedia	sxu	177	33	31	0.0	0.0	3	1
Wikipedia	enf	631	26	195	0.0	0.0	1	1
Wikivoyage	mnc	7	4	1	0.0	0.0	1	1
Wikipedia	gil	337	24	61	0.0	23.0	1	1
Wikivoyage	uz	188	18	60	0.0	0.0	1	1
Wikipedia	ulc	42	9	6	0.0	0.0	1	1
Wikipedia	hrx	2723	36	391	0.0	0.0	3	1
Wikibooks	ha	40	19	13	0.0	0.0	1	1
Wikipedia	xsr	9	3	3	0.0	21.0	1	1
Wikibooks	scn	4	3	2	0.0	0.0	2	1
Wikiquote	ary	2	2	2	0.0	0.0	1	1
Wikinews	ang	145	18	36	0.0	0.0	1	1
Wikiquote	jv	265	15	171	0.0	0.0	1	1
Wikipedia	liv	10055	117	1092	0.0	0.0	1	1
Wikinews	hr	268	17	78	0.0	0.0	1	1
Wikipedia	mic	1565	32	295	0.0	0.0	1	1
Wikinews	ppl	1926	29	226	0.0	0.0	2	1
Wikiquote	yue	1266	40	427	0.0	11.0	5	1
Wikipedia	mui	1651	41	244	-4.0	15.0	2	1
Wikinews	yue	641	36	180	0.0	0.0	1	1
Wiktionary	chn	6	3	2	0.0	0.0	1	1
Wikipedia	apw	45	7	8	0.0	0.0	1	1
Wiktionary	rgn	38	8	15	0.0	0.0	1	1
Wikipedia	btx	39	18	11	0.0	0.0	1	1
Wikivoyage	af	139	6	80	0.0	0.0	1	1
Wikipedia	shh	368	11	75	0.0	0.0	1	1
Wikipedia	clw	72	29	12	0.0	0.0	1	1
Wikivoyage	fit	8	3	3	0.0	0.0	1	1
Wikipedia	str	27	7	7	0.0	0.0	1	1
Wikipedia	efi	2878	21	158	0.0	0.0	2	1
Wikivoyage	lv	1375	29	319	0.0	0.0	1	1
Wikipedia	gay	76	21	12	0.0	0.0	1	1
Wikipedia	tyz	197	5	43	-64.0	67.0	10	1
Wikipedia	hne	60	16	25	0.0	21.0	1	1
Wikipedia	jdt	116	26	37	0.0	0.0	5	1
Wikibooks	pnb	23	9	9	0.0	0.0	1	1
Wikiquote	aa	4	1	3	0.0	0.0	4	1
Wikinews	ace	45	4	10	0.0	0.0	1	1
Wikinews	gv	5	2	1	0.0	0.0	4	1
Wikiquote	olo	1	1	1	-24.0	0.0	1	1
Wikinews	nia	232	8	70	0.0	0.0	7	1
Wikiquote	tt	2224	38	342	-83.0	3171.0	6	1
Wikinews	uz	100	11	44	0.0	0.0	12	1
Wiktionary	cbk	330	7	109	0.0	0.0	2	1
Wikipedia	njo	165	19	14	0.0	21.0	1	1
Wiktionary	kab	1208	36	461	-3.0	3.0	3	1
Wikipedia	otk	11	5	1	0.0	0.0	1	1
Wikipedia	ber	20	10	1	0.0	0.0	5	1
Wiktionary	pms	9608	32	2755	0.0	665.0	3	1
Wikipedia	rad	137	2	26	-17.0	265.0	22	1
Wiktionary	xkv	4	2	1	0.0	0.0	3	1
Wikipedia	ses	33	7	17	0.0	0.0	1	1
Wikipedia	ckm	1	1	1	0.0	0.0	1	1
Wikivoyage	cy	131	14	25	0.0	0.0	1	1
Wikipedia	std	1	1	1	0.0	0.0	1	1
Wikipedia	dje	3	2	2	0.0	0.0	2	1
Wikivoyage	ky	55	8	12	0.0	0.0	6	1
Wikipedia	tmh	6	4	1	0.0	0.0	1	1
Wikipedia	frc	716	54	163	0.0	0.0	1	1
Wikivoyage	su	86	8	35	0.0	0.0	3	1
Wikipedia	hac	384	28	121	0.0	0.0	8	1
Wikipedia	izh	329	43	19	-2.0	4.0	5	1
Wikibooks	olo	1	1	1	-24.0	0.0	1	1
Wikipedia	zmi	22	4	5	0.0	0.0	1	1
Wikipedia	kib	1	1	1	0.0	0.0	1	1
Wikibooks	wuu	121	18	31	0.0	0.0	2	1
