project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikipedia	kaa	231	33	2	28	6	0	0	Wp/kaa
Wikipedia	tzl	231	13	47	22	2	1488	0	Wp/tzl
Wikiquote	om	230	7	44	2	2	0	0	Wq/om
Wikiquote	pa	229	18	57	28	3	30	0	Wq/pa
Wiktionary	ulc	229	5	143	9	2	0	0	Wt/ulc
Wikiquote	oc	229	25	23	73	6	0	0	Wq/oc
Wiktionary	khw	228	15	115	22	4	0	0	Wt/khw
Wiktionary	qwh	228	11	121	8	2	0	0	Wt/qwh
Wiktionary	ude	225	5	114	31	2	0	-6	Wt/ude
Wikipedia	mzs	224	14	126	65	3	0	0	Wp/mzs
Wikipedia	moe	222	13	46	1	1	0	-3	Wp/moe
Wiktionary	lvk	220	2	180	14	2	0	0	Wt/lvk
Wikipedia	zyj	219	11	32	55	3	0	0	Wp/zyj
Wikibooks	cdo	219	8	94	20	2	0	0	Wb/cdo
Wikipedia	lud	217	14	80	36	3	0	0	Wp/lud
Wikinews	se	213	9	44	20	2	0	0	Wn/se
Wikipedia	kha	213	21	61	25	4	0	0	Wp/kha
Wiktionary	ee	212	13	88	7	2	0	0	Wt/ee
Wiktionary	se	211	28	109	19	3	0	0	Wt/se
Wikivoyage	ms	208	17	75	75	6	12017	-786	Wy/ms
Wikipedia	qub	207	21	56	9	2	0	0	Wp/qub
Wikibooks	vo	206	54	9	2	2	0	0	Wb/vo
Wikipedia	bfq	205	23	45	5	3	0	0	Wp/bfq
Wikinews	khw	204	20	60	29	5	0	0	Wn/khw
Wikibooks	ps	203	41	49	35	4	0	0	Wb/ps
Wikiquote	sh	203	12	66	9	2	0	0	Wq/sh
Wikibooks	so	201	20	58	20	2	0	0	Wb/so
Wikipedia	bgz	200	24	47	51	7	0	0	Wp/bgz
Wikiquote	jv	199	17	90	17	5	0	0	Wq/jv
Wikipedia	tts	198	19	49	10	2	0	0	Wp/tts
Wikipedia	ho	198	58	61	14	8	0	0	Wp/ho
Wikipedia	kr	197	48	25	18	6	8060	-1027	Wp/kr
Wikipedia	ksf	197	18	46	48	4	0	0	Wp/ksf
Wiktionary	pox	195	9	83	35	2	0	0	Wt/pox
Wikipedia	max	195	28	46	48	7	0	0	Wp/max
Wiktionary	nys	195	18	61	45	2	0	0	Wt/nys
Wiktionary	got	194	7	76	77	2	0	0	Wt/got
Wikipedia	pau	194	20	52	18	3	0	0	Wp/pau
Wikipedia	hak	193	20	1	121	7	0	0	Wp/hak
Wikipedia	atv	192	68	37	18	6	0	0	Wp/atv
Wikipedia	njo	192	24	15	48	5	0	0	Wp/njo
Wiktionary	nso	192	12	88	5	3	0	0	Wt/nso
Wiktionary	rmq	191	4	105	8	1	0	0	Wt/rmq
Wiktionary	pwn	191	11	49	5	1	5931	-303	Wt/pwn
Wiktionary	glk	189	30	93	34	2	0	0	Wt/glk
Wikinews	fi	187	20	1	1	1	0	0	Wn/fi
Wikibooks	ast	186	51	19	8	4	0	0	Wb/ast
Wikivoyage	uz	185	17	63	33	4	0	0	Wy/uz
Wiktionary	neg	185	4	126	17	1	0	0	Wt/neg
Wiktionary	mdf	182	10	110	3	1	0	0	Wt/mdf
Wikivoyage	et	181	30	31	18	5	0	-12	Wy/et
Wikipedia	juc	178	6	23	58	2	0	0	Wp/juc
Wikiquote	kk	177	43	32	28	4	2633	0	Wq/kk
Wikiquote	li	176	19	2	1	1	0	0	Wq/li
Wikipedia	be	176	25	2	9	3	0	0	Wp/be
Wiktionary	new	176	17	78	16	4	0	0	Wt/new
Wikipedia	xpq	175	10	63	24	1	0	0	Wp/xpq
Wikinews	ang	175	25	47	32	4	0	0	Wn/ang
Wikivoyage	ne	174	17	37	17	2	0	0	Wy/ne
Wikipedia	kut	173	7	52	33	2	0	0	Wp/kut
Wikipedia	kj	171	56	28	13	7	0	0	Wp/kj
Wikipedia	qxq	171	43	52	32	6	0	0	Wp/qxq
Wikinews	pnb	168	19	43	10	3	0	-6	Wn/pnb
Wikiquote	syc	168	12	28	4	2	0	0	Wq/syc
Wikivoyage	eu	168	19	47	32	4	0	0	Wy/eu
Wiktionary	yo	166	12	71	73	3	0	0	Wt/yo
Wikipedia	cjm	163	11	17	3	2	0	-997	Wp/cjm
Wikipedia	raj	163	37	53	24	4	0	0	Wp/raj
Wiktionary	oac	163	3	101	5	1	0	0	Wt/oac
Wikivoyage	te	162	9	50	25	3	0	0	Wy/te
Wikipedia	shp	161	4	32	12	1	0	0	Wp/shp
Wikipedia	abq	160	45	30	26	9	234	0	Wp/abq
Wikipedia	oge	159	28	48	24	6	0	0	Wp/oge
Wikipedia	lrc	159	23	71	29	3	0	0	Wp/lrc
Wikipedia	btz	159	27	44	25	3	152	-93	Wp/btz
Wikipedia	sah	158	35	2	23	5	0	0	Wp/sah
Wikinews	mkn	158	8	44	28	3	43	0	Wn/mkn
Wikinews	cv	157	25	42	11	3	0	0	Wn/cv
Wikipedia	mfa	157	27	27	26	6	0	0	Wp/mfa
Wikipedia	saz	157	38	21	16	4	0	0	Wp/saz
Wikiquote	mul	156	41	34	19	7	0	0	Wq/mul
Wikibooks	su	156	40	34	8	4	0	0	Wb/su
Wikipedia	kmz	156	30	40	17	4	1	0	Wp/kmz
Wikipedia	fmp	156	18	43	41	4	0	0	Wp/fmp
Wikinews	eu	156	25	43	17	4	0	0	Wn/eu
Wikipedia	sel	156	27	44	27	5	17	0	Wp/sel
Wikipedia	gcf	155	28	31	13	4	0	0	Wp/gcf
Wiktionary	mzn	154	31	73	36	6	0	0	Wt/mzn
Wikipedia	jdt	154	29	57	16	4	17	0	Wp/jdt
Wikipedia	bzg	153	12	34	17	3	2	0	Wp/bzg
Wikinews	skr	153	36	58	10	3	0	0	Wn/skr
Wikivoyage	cy	151	18	30	17	4	0	0	Wy/cy
Wikipedia	sxu	150	31	31	12	4	1178	0	Wp/sxu
Wikipedia	mwv	149	27	31	12	3	0	0	Wp/mwv
Wikinews	mzn	149	33	43	14	4	39	0	Wn/mzn
Wiktionary	mxi	148	23	74	4	2	0	0	Wt/mxi
Wikipedia	ccp	147	28	29	11	2	0	0	Wp/ccp
Wikipedia	tsd	147	21	37	17	3	0	0	Wp/tsd
Wikipedia	lif	147	25	21	8	4	0	0	Wp/lif
Wikipedia	mus	146	40	27	15	5	0	0	Wp/mus
Wikinews	nia	145	5	61	28	1	0	0	Wn/nia
Wiktionary	eve	144	3	92	23	1	0	0	Wt/eve
Wiktionary	fil	144	24	32	2	2	0	0	Wt/fil
Wikipedia	ood	144	13	22	4	2	0	0	Wp/ood
Wikipedia	tig	143	3	14	11	1	0	0	Wp/tig
Wikipedia	kac	142	36	32	11	5	0	0	Wp/kac
Wikipedia	sjn	142	7	25	3	1	0	0	Wp/sjn
Wikiquote	glk	141	14	59	1	1	0	0	Wq/glk
Wiktionary	ch	139	28	28	27	5	36	0	Wt/ch
Wikibooks	wuu	138	22	32	9	4	0	0	Wb/wuu
Wiktionary	csm	138	5	30	1	1	502	0	Wt/csm
Wikinews	sah	138	8	34	4	1	0	0	Wn/sah
Wikinews	ckb	138	10	46	7	1	0	0	Wn/ckb
Wikipedia	qdp	136	10	24	15	1	0	0	Wp/qdp
Wikipedia	ovd	136	17	27	6	2	0	0	Wp/ovd
Wikipedia	ajp	136	23	34	30	3	0	0	Wp/ajp
Wikipedia	mfb	135	17	26	5	1	0	0	Wp/mfb
Wikibooks	qwh	134	9	57	17	2	0	0	Wb/qwh
Wiktionary	bo	134	19	49	4	2	3665	0	Wt/bo
Wikipedia	asb	134	11	47	32	2	0	0	Wp/asb
Wikipedia	bci	133	10	24	7	3	0	0	Wp/bci
Wikipedia	pua	133	21	19	6	2	0	0	Wp/pua
Wikipedia	ctc	131	15	40	24	2	0	0	Wp/ctc
Wiktionary	fit	130	5	57	122	2	0	0	Wt/fit
Wikibooks	se	130	14	35	32	3	0	0	Wb/se
Wiktionary	ett	129	5	24	105	3	0	0	Wt/ett
Wikipedia	kek	128	24	55	35	6	0	0	Wp/kek
Wiktionary	ab	125	16	79	6	3	0	0	Wt/ab
Wikipedia	pwo	125	13	56	6	2	0	0	Wp/pwo
Wiktionary	pjt	125	18	45	39	2	0	0	Wt/pjt
Wiktionary	xmf	124	11	51	24	4	0	0	Wt/xmf
Wikipedia	ewo	124	21	24	13	4	0	0	Wp/ewo
Wikibooks	uz	123	36	19	5	5	0	0	Wb/uz
Wikibooks	os	123	10	48	1	1	0	0	Wb/os
Wikipedia	sje	123	7	18	16	1	624	0	Wp/sje
Wikipedia	rop	122	16	27	1	1	2	0	Wp/rop
Wiktionary	pzh	122	8	17	2	1	0	0	Wt/pzh
Wikiquote	ckb	121	10	42	22	1	0	0	Wq/ckb
Wikipedia	sly	120	15	32	9	2	0	0	Wp/sly
Wiktionary	inh	120	14	43	5	1	0	0	Wt/inh
Wikipedia	kca	120	36	28	7	5	17	0	Wp/kca
Wikipedia	zap	119	7	18	8	2	0	0	Wp/zap
Wikipedia	dum	119	33	15	20	6	0	0	Wp/dum
Wikiquote	nia	119	6	49	34	3	0	0	Wq/nia
Wikivoyage	vep	119	12	23	28	4	0	0	Wy/vep
Wikipedia	dcr	118	12	34	46	4	0	0	Wp/dcr
Wikipedia	ady	117	24	26	13	5	0	0	Wp/ady
Wikipedia	cjs	116	36	37	13	6	0	0	Wp/cjs
Wikipedia	mam	115	12	28	3	1	0	0	Wp/mam
Wikibooks	mnc	115	8	42	31	2	0	0	Wb/mnc
Wikipedia	wbl	115	19	55	2	2	17	0	Wp/wbl
Wikivoyage	skr	114	17	41	17	2	0	0	Wy/skr
Wiktionary	jje	112	6	50	7	2	0	0	Wt/jje
Wikipedia	ist	111	18	27	8	2	0	0	Wp/ist
Wikiquote	co	111	43	7	10	3	0	0	Wq/co
Wikipedia	kzp	110	11	37	3	3	0	0	Wp/kzp
Wikinews	uz	109	13	53	47	4	597	-2332	Wn/uz
Wikipedia	gan	109	26	1	2	1	0	0	Wp/gan
Wikipedia	tli	109	8	50	38	3	0	0	Wp/tli
Wikipedia	surzh	108	22	1	5	4	0	0	Wp/surzh
Wikibooks	pcd	108	11	31	9	4	0	0	Wb/pcd
Wikipedia	jpn	107	32	2	13	6	0	0	Wp/jpn
Wikipedia	mfp	107	10	29	46	4	0	0	Wp/mfp
Wikipedia	mrh	106	12	21	13	1	0	0	Wp/mrh
Wikipedia	ddg	104	20	29	3	1	0	0	Wp/ddg
Wiktionary	aa	104	28	28	8	4	0	0	Wt/aa
Wikipedia	qvc	104	13	37	5	2	0	-3	Wp/qvc
Wikinews	lmo	104	9	19	9	1	0	0	Wn/lmo
Wikinews	mni	103	4	40	102	3	0	0	Wn/mni
Wikipedia	vi	103	40	1	7	5	0	0	Wp/vi
Wiktionary	dtp	102	11	39	19	3	663	0	Wt/dtp
Wikipedia	unm	101	16	30	8	2	0	0	Wp/unm
Wikipedia	mjd	100	11	29	12	2	0	0	Wp/mjd
Wikibooks	sw	100	27	21	18	1	0	0	Wb/sw
Wiktionary	fur	100	11	45	17	1	0	0	Wt/fur
Wikipedia	sgc	100	17	11	7	3	0	0	Wp/sgc
Wikibooks	yi	99	7	16	9	2	0	0	Wb/yi
Wikiquote	qu	98	16	21	5	1	0	0	Wq/qu
Wiktionary	brx	98	6	18	82	3	0	0	Wt/brx
Wikipedia	gay	97	39	15	14	6	0	0	Wp/gay
Wikipedia	clw	97	41	15	13	5	7	0	Wp/clw
Wikinews	sk	97	20	25	11	3	4	-4	Wn/sk
Wikiquote	an	96	24	38	2	1	0	0	Wq/an
Wikipedia	vai	96	24	48	11	3	63137	0	Wp/vai
Wikipedia	luz	96	19	36	4	4	23	0	Wp/luz
Wikinews	ps	95	21	33	8	4	0	0	Wn/ps
Wiktionary	tyv	95	12	28	66	7	0	0	Wt/tyv
Wiktionary	orh	94	3	22	36	1	0	0	Wt/orh
Wikipedia	btd	94	26	32	19	4	0	0	Wp/btd
Wikipedia	gaa	93	17	34	5	4	5	0	Wp/gaa
Wikipedia	byv	93	12	20	5	2	0	0	Wp/byv
Wikipedia	szl	93	19	2	15	5	0	0	Wp/szl
Wikipedia	ruq	93	27	25	4	3	1000	0	Wp/ruq
Wikibooks	na	92	28	13	4	2	0	0	Wb/na
Wikinews	nap	92	8	32	7	1	0	0	Wn/nap
Wikipedia	rtm	92	24	24	21	5	0	0	Wp/rtm
Wikiquote	mn	92	15	24	2	1	0	0	Wq/mn
Wikipedia	aoc	91	8	30	24	2	0	0	Wp/aoc
Wikipedia	dgo	90	28	20	6	3	3026	-1654	Wp/dgo
Wikibooks	bo	90	26	30	5	1	0	0	Wb/bo
Wikipedia	tab	90	35	16	8	5	17	0	Wp/tab
Wikipedia	kls	89	26	19	9	4	0	0	Wp/kls
Wikipedia	ahr	88	17	7	3	2	0	0	Wp/ahr
Wiktionary	bug	88	15	34	4	1	0	-12	Wt/bug
Wikipedia	qvw	87	12	37	6	2	0	-3	Wp/qvw
Wikipedia	sas	87	7	35	2	2	0	0	Wp/sas
Wikibooks	sd	87	16	26	14	3	0	0	Wb/sd
Wikipedia	bgc	87	8	34	42	4	0	0	Wp/bgc
Wikipedia	tru	87	7	6	1	1	0	0	Wp/tru
Wikibooks	my	86	13	30	4	2	0	0	Wb/my
Wikipedia	arp	85	11	32	10	1	0	0	Wp/arp
Wikipedia	rut	85	25	13	11	5	34	-122	Wp/rut
Wikipedia	tyz	84	5	23	35	2	2683	-16	Wp/tyz
Wikipedia	tnt	84	33	10	4	2	0	0	Wp/tnt
Wikipedia	crh	84	15	1	8	2	0	0	Wp/crh
Wikipedia	fat	83	7	59	24	2	1123	-314	Wp/fat
Wikiquote	am	83	19	15	2	2	0	0	Wq/am
Wiktionary	os	83	19	29	5	2	0	0	Wt/os
Wikibooks	bcl	83	6	38	6	1	0	0	Wb/bcl
Wikibooks	zu	83	14	7	34	2	0	0	Wb/zu
Wikipedia	agr	82	4	24	6	2	0	0	Wp/agr
Wikipedia	akv	82	23	17	21	6	34	0	Wp/akv
Wikipedia	loz	80	18	22	7	3	0	0	Wp/loz
Wikipedia	ncj	80	5	15	30	2	0	0	Wp/ncj
Wikinews	or	80	7	29	2	2	0	0	Wn/or
Wikipedia	myv	80	19	1	1	1	0	0	Wp/myv
Wikipedia	cni	80	5	25	6	2	0	0	Wp/cni
Wikipedia	nio	79	23	21	18	5	17	0	Wp/nio
Wikipedia	pko	79	15	18	27	5	0	0	Wp/pko
Wikipedia	ext	79	16	2	9	3	0	0	Wp/ext
Wikipedia	bhh	78	12	14	12	2	0	0	Wp/bhh
Wikipedia	was	78	14	28	10	1	0	0	Wp/was
Wikiquote	lv	77	17	21	8	3	0	0	Wq/lv
Wikiquote	lzh	77	16	16	1	1	0	0	Wq/lzh
Wikipedia	gwi	77	5	25	15	1	0	0	Wp/gwi
Wikinews	hy	76	12	19	4	2	0	0	Wn/hy
Wikiquote	skr	75	14	33	3	3	0	0	Wq/skr
Wikinews	sl	75	25	14	15	5	0	0	Wn/sl
Wikiquote	bho	74	5	16	4	2	0	0	Wq/bho
Wikipedia	icr	74	6	27	11	2	1554	0	Wp/icr
Wikipedia	shy	74	13	28	4	1	0	0	Wp/shy
Wikipedia	eve	74	18	9	5	2	0	0	Wp/eve
Wikinews	glk	74	23	12	3	1	0	0	Wn/glk
Wiktionary	ki	73	9	44	13	1	0	0	Wt/ki
Wikinews	sd	73	16	26	21	5	0	0	Wn/sd
Wikipedia	ine	72	29	1	11	4	0	0	Wp/ine
Wikivoyage	khw	72	12	24	6	3	0	0	Wy/khw
Wikipedia	agx	72	34	16	7	5	34	0	Wp/agx
Wikipedia	kvr	72	9	20	2	1	0	0	Wp/kvr
Wikipedia	abv	72	27	8	8	5	43	0	Wp/abv
Wikipedia	mjy	71	4	28	8	1	0	-12	Wp/mjy
Wikivoyage	nap	71	4	26	10	1	0	0	Wy/nap
Wiktionary	pih	71	6	17	21	2	0	0	Wt/pih
Wikipedia	qqt	70	3	1	70	3	1850	-1203	Wp/qqt
Wikipedia	rki	70	15	22	6	2	0	0	Wp/rki
Wikivoyage	tg	69	13	14	11	3	0	-6	Wy/tg
Wikipedia	aii	69	11	13	1	1	0	-3	Wp/aii
Wikipedia	mos	69	8	22	3	3	12273	-204	Wp/mos
Wikipedia	ayn	69	20	17	5	3	1	0	Wp/ayn
Wiktionary	ty	69	5	48	39	1	59	0	Wt/ty
Wiktionary	ota	68	17	10	1	1	0	0	Wt/ota
Wikibooks	mni	68	5	20	17	2	0	0	Wb/mni
Wikipedia	cmn	68	30	3	3	3	0	0	Wp/cmn
Wikipedia	mnb	67	6	25	25	3	0	0	Wp/mnb
Wikipedia	mxp	67	19	27	11	3	0	0	Wp/mxp
Wikipedia	bca	67	5	42	6	2	0	0	Wp/bca
Wikinews	da	66	19	18	11	6	0	0	Wn/da
Wiktionary	chb	66	18	7	1	1	0	0	Wt/chb
Wikipedia	iba	66	24	12	17	5	42	0	Wp/iba
Wiktionary	ace	66	38	9	7	3	0	0	Wt/ace
Wikipedia	tpn	66	13	15	2	1	0	0	Wp/tpn
Wikipedia	haz	66	19	14	2	2	0	0	Wp/haz
Wiktionary	sma	65	11	17	2	1	0	0	Wt/sma
Wikibooks	ht	65	12	25	2	1	0	0	Wb/ht
Wikipedia	oma	65	8	27	15	2	0	0	Wp/oma
Wiktionary	olo	65	3	42	22	1	0	0	Wt/olo
Wikinews	cy	64	5	27	13	1	0	0	Wn/cy
Wikipedia	vkt	64	22	9	4	3	0	0	Wp/vkt
Wikipedia	orv	64	31	3	6	4	0	0	Wp/orv
Wikiquote	my	63	7	17	2	1	0	0	Wq/my
Wikibooks	bfq	63	8	15	1	1	0	0	Wb/bfq
Wikibooks	tk	63	24	14	2	2	0	0	Wb/tk
Wiktionary	bxr	63	12	21	2	1	0	0	Wt/bxr
Wiktionary	mai	62	9	27	11	2	0	0	Wt/mai
Wikipedia	amr	62	20	20	9	3	0	-6	Wp/amr
Wikipedia	kev	62	17	11	5	2	0	0	Wp/kev
Wikipedia	mgp	61	8	12	11	3	0	0	Wp/mgp
Wikipedia	mnk	61	7	39	61	7	57	-6	Wp/mnk
Wiktionary	dgr	61	5	33	30	2	0	-9	Wt/dgr
Wikipedia	rml	61	1	26	10	1	0	0	Wp/rml
Wikipedia	bgp	61	16	22	4	2	0	0	Wp/bgp
Wikipedia	fvr	60	8	17	9	2	5223	-100	Wp/fvr
Wikipedia	kmr	60	16	31	57	14	280	-280	Wp/kmr
Wikipedia	mog	60	22	15	3	3	0	0	Wp/mog
Wikipedia	mvi	60	16	17	11	3	0	0	Wp/mvi
Wikipedia	qxn	60	11	29	1	1	0	0	Wp/qxn
Wikipedia	crg	60	9	22	7	2	0	0	Wp/crg
Wikipedia	lhu	60	23	12	8	3	0	0	Wp/lhu
Wikipedia	hif	60	8	1	2	1	0	0	Wp/hif
Wikipedia	uzs	59	13	7	7	2	0	0	Wp/uzs
Wikibooks	nds	59	21	11	13	4	0	0	Wb/nds
Wikiquote	io	59	12	30	2	2	0	-6	Wq/io
Wikipedia	lew	59	13	36	4	2	0	0	Wp/lew
Wikipedia	crd	59	12	15	6	2	0	0	Wp/crd
Wikipedia	stl	59	7	28	3	2	43	-3	Wp/stl
Wikipedia	ljp	58	24	14	6	4	0	0	Wp/ljp
Wikipedia	apw	58	9	6	16	2	0	0	Wp/apw
Wikipedia	abs	58	26	17	14	5	0	0	Wp/abs
Wiktionary	evn	58	3	28	22	1	0	0	Wt/evn
Wikivoyage	mnw	58	5	26	19	2	0	0	Wy/mnw
Wikipedia	bft	58	12	17	6	2	0	0	Wp/bft
Wikipedia	mto	58	3	15	29	1	0	0	Wp/mto
Wikipedia	itk	57	14	7	22	5	1056	-4	Wp/itk
Wikipedia	rkt	57	11	13	1	1	0	0	Wp/rkt
Wikinews	oc	57	9	17	10	2	0	0	Wn/oc
Wikipedia	ibb	56	8	20	4	2	0	0	Wp/ibb
Wikipedia	paw	56	8	17	7	2	0	0	Wp/paw
Wiktionary	syc	56	12	15	5	2	0	0	Wt/syc
Wikivoyage	sd	55	6	21	6	1	0	0	Wy/sd
Wikipedia	ydg	55	9	29	4	2	0	0	Wp/ydg
Wikipedia	pjt	55	16	11	8	2	0	0	Wp/pjt
Wiktionary	rmc	55	4	33	12	3	0	0	Wt/rmc
Wikipedia	lld	55	20	2	3	2	0	0	Wp/lld
Wikipedia	qux	55	4	29	4	1	0	0	Wp/qux
Wikibooks	aa	54	33	3	3	3	0	0	Wb/aa
Wikivoyage	gu	54	9	21	7	1	0	0	Wy/gu
Wikivoyage	mn	54	7	15	21	2	0	0	Wy/mn
Wikinews	ml	54	16	16	6	2	0	0	Wn/ml
Wikivoyage	sq	54	9	19	9	3	0	0	Wy/sq
Wikibooks	fj	54	3	34	2	1	0	0	Wb/fj
Wiktionary	tw	54	23	11	3	3	0	0	Wt/tw
Wikipedia	mdf	54	14	2	4	3	0	0	Wp/mdf
Wikibooks	azb	54	10	18	16	3	0	-9	Wb/azb
Wikiquote	min	53	8	22	4	3	0	0	Wq/min
Wikipedia	udi	53	23	13	5	3	17	0	Wp/udi
Wikivoyage	my	53	8	24	13	2	371	0	Wy/my
Wikipedia	inh	52	13	1	5	2	0	0	Wp/inh
Wikipedia	tcs	52	21	12	3	1	3041	-75	Wp/tcs
Wiktionary	av	52	15	14	4	2	68	0	Wt/av
Wikipedia	swu	52	4	20	36	2	0	0	Wp/swu
Wikipedia	bzd	52	2	15	1	1	0	0	Wp/bzd
Wikibooks	lzh	52	11	7	11	3	0	0	Wb/lzh
Wiktionary	kea	52	15	18	5	2	0	0	Wt/kea
Wikipedia	tzh	52	21	10	4	3	0	0	Wp/tzh
Wikivoyage	pnb	52	6	14	12	2	0	0	Wy/pnb
Wikivoyage	ky	52	7	14	2	1	0	-3	Wy/ky
Wiktionary	stq	52	6	22	2	2	0	0	Wt/stq
Wikipedia	aoz	52	20	22	4	2	0	0	Wp/aoz
Wikipedia	ybe	52	12	5	3	2	0	-2	Wp/ybe
Wikipedia	niv	51	21	10	5	3	17	0	Wp/niv
Wikibooks	mn	51	12	9	3	1	0	0	Wb/mn
Wikipedia	hnd	51	19	10	5	3	0	0	Wp/hnd
Wikipedia	khb	51	7	15	2	2	0	0	Wp/khb
Wikivoyage	mi	50	6	36	1	1	0	0	Wy/mi
Wikinews	mg	50	8	19	11	3	0	0	Wn/mg
Wikibooks	ak	50	23	14	2	1	0	0	Wb/ak
Wikivoyage	lt	50	11	17	9	4	0	0	Wy/lt
Wikiquote	nap	49	7	18	3	1	0	-19	Wq/nap
Wikipedia	akb	49	21	8	16	6	0	0	Wp/akb
Wikipedia	dlg	49	25	11	9	4	17	0	Wp/dlg
Wikibooks	mzn	49	17	17	7	1	0	0	Wb/mzn
Wiktionary	saz	49	7	11	15	2	0	0	Wt/saz
Wikipedia	yoi	48	9	9	5	2	0	0	Wp/yoi
Wiktionary	awa	48	6	18	14	2	0	0	Wt/awa
Wikiquote	szl	48	3	34	7	2	0	0	Wq/szl
Wikipedia	ude	48	12	11	11	3	0	0	Wp/ude
Wikivoyage	tl	47	12	6	3	3	0	-6	Wy/tl
Wikipedia	she	47	4	30	4	1	0	0	Wp/she
Wikipedia	yaq	47	9	11	11	3	0	0	Wp/yaq
Wikipedia	btx	47	26	11	6	3	0	0	Wp/btx
Wikipedia	itl	46	27	14	5	4	17	0	Wp/itl
Wikipedia	hne	46	15	22	8	3	0	0	Wp/hne
Wiktionary	sn	46	5	30	1	1	0	0	Wt/sn
Wikipedia	nan	45	13	6	3	2	0	0	Wp/nan
Wikibooks	kn	45	19	8	7	2	0	0	Wb/kn
Wikipedia	hmn	45	9	1	3	3	0	0	Wp/hmn
Wikipedia	bas	45	10	6	38	5	0	0	Wp/bas
Wikipedia	kgp	45	19	15	3	2	0	0	Wp/kgp
Wikibooks	fmp	45	7	6	14	3	0	0	Wb/fmp
Wikipedia	cim	45	6	15	1	1	0	-3	Wp/cim
Wikinews	phr	44	2	13	22	1	0	0	Wn/phr
Wikivoyage	kk	44	4	16	2	2	0	0	Wy/kk
Wikipedia	ojp	44	10	7	11	2	0	0	Wp/ojp
Wikipedia	mhy	44	17	8	8	4	0	0	Wp/mhy
Wikipedia	rmn	44	4	20	31	1	0	0	Wp/rmn
Wikipedia	cic	44	9	17	9	1	0	0	Wp/cic
Wikiquote	mt	44	2	29	14	1	0	0	Wq/mt
Wikivoyage	sl	43	5	15	2	1	0	0	Wy/sl
Wikipedia	oka	43	6	13	13	3	0	0	Wp/oka
Wikivoyage	su	43	6	9	15	2	0	0	Wy/su
Wikinews	as	43	8	14	13	2	0	0	Wn/as
Wiktionary	cr	42	17	5	8	2	0	0	Wt/cr
Wikipedia	hus	42	12	9	6	2	0	0	Wp/hus
Wikipedia	skh	42	6	23	11	2	0	0	Wp/skh
Wikipedia	ngu	42	5	15	5	2	0	0	Wp/ngu
Wikipedia	orh	42	5	8	19	2	0	0	Wp/orh
Wikipedia	pbb	42	10	10	20	3	0	0	Wp/pbb
Wikivoyage	bho	41	6	13	3	1	0	0	Wy/bho
Wikipedia	jqr	41	3	23	7	1	0	0	Wp/jqr
Wikipedia	mon	41	14	2	4	2	0	0	Wp/mon
Wikipedia	tcz	41	2	19	8	1	0	0	Wp/tcz
Wiktionary	cv	41	18	12	4	2	0	0	Wt/cv
Wikivoyage	ku	41	8	9	2	1	0	0	Wy/ku
Wiktionary	nrm	41	7	14	2	1	0	0	Wt/nrm
Wikiquote	av	41	14	11	5	2	0	0	Wq/av
Wikipedia	mid	41	1	15	41	1	0	0	Wp/mid
Wikipedia	trw	40	7	13	1	1	0	0	Wp/trw
Wikipedia	sla	40	6	1	2	1	0	0	Wp/sla
Wiktionary	fkv	40	11	8	8	2	0	0	Wt/fkv
Wikiquote	mni	40	8	11	3	3	0	0	Wq/mni
Wikipedia	phr	40	20	9	3	2	0	0	Wp/phr
Wikipedia	opt	40	1	4	3	1	0	0	Wp/opt
Wikipedia	ulc	40	7	9	12	2	0	0	Wp/ulc
Wikiquote	wuu	40	10	12	4	2	0	0	Wq/wuu
Wiktionary	lez	39	3	19	7	1	0	0	Wt/lez
Wikipedia	cku	39	8	11	4	2	0	0	Wp/cku
Wiktionary	ady	39	24	6	4	2	0	0	Wt/ady
Wikipedia	tox	39	17	10	2	2	0	0	Wp/tox
Wiktionary	kjh	39	6	15	19	3	0	0	Wt/kjh
Wikipedia	tin	39	24	9	6	4	17	0	Wp/tin
Wikipedia	cux	39	11	11	2	1	0	0	Wp/cux
Wikipedia	ili	39	15	5	7	2	0	0	Wp/ili
Wikipedia	cja	38	9	8	3	2	0	-25	Wp/cja
Wikibooks	ryu	38	10	14	2	1	0	0	Wb/ryu
Wikibooks	bho	38	7	12	1	1	0	0	Wb/bho
Wiktionary	bto	38	3	16	1	1	4	0	Wt/bto
Wikivoyage	is	38	5	14	8	1	6529	-202	Wy/is
Wiktionary	bi	37	8	22	3	2	0	0	Wt/bi
Wiktionary	tly	37	11	9	2	1	0	0	Wt/tly
Wikinews	tr	37	15	9	5	2	10	0	Wn/tr
Wikiquote	khw	37	7	17	6	4	0	0	Wq/khw
Wikipedia	aaf	37	24	5	3	3	2	0	Wp/aaf
Wikibooks	glk	36	13	5	2	2	0	0	Wb/glk
Wikipedia	tkr	36	18	11	7	5	17	0	Wp/tkr
Wikipedia	miz	36	6	11	2	1	0	0	Wp/miz
Wikipedia	nso	36	9	1	1	1	0	0	Wp/nso
Wikipedia	ddo	36	17	6	6	3	17	0	Wp/ddo
Wiktionary	dag	36	5	9	1	1	0	0	Wt/dag
Wikiquote	awa	36	7	21	14	1	0	0	Wq/awa
