project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikipedia	dar	3140	110	661	436	20	189	0	Wp/dar
Wikiquote	tg	3108	25	2363	91	7	0	0	Wq/tg
Wiktionary	nrf	3105	20	1590	280	4	40	0	Wt/nrf
Wikipedia	nod	3072	81	766	220	8	3951	-69	Wp/nod
Wiktionary	ban	2968	34	1164	112	5	2878	-4490	Wt/ban
Wikiquote	guw	2907	12	198	991	10	71275	-2024	Wq/guw
Wiktionary	bm	2871	21	1889	57	2	21789	-65	Wt/bm
Wiktionary	bjn	2832	22	1099	677	6	5269	-529	Wt/bjn
Wikipedia	sdh	2754	78	904	269	14	0	-3	Wp/sdh
Wiktionary	kcg	2748	26	122	620	12	89319	-13274	Wt/kcg
Wikipedia	fkv	2659	107	695	395	17	0	0	Wp/fkv
Wikipedia	ckt	2600	110	722	430	17	26	-9	Wp/ckt
Wiktionary	ssf	2597	12	1455	6	1	0	0	Wt/ssf
Wikipedia	lzz	2590	88	900	298	13	0	-3	Wp/lzz
Wiktionary	lus	2549	22	1217	469	5	0	0	Wt/lus
Wikivoyage	da	2531	90	478	385	18	53	0	Wy/da
Wiktionary	gor	2506	17	513	169	6	39318	-18	Wt/gor
Wikipedia	pzh	2481	26	593	447	5	105008	-21023	Wp/pzh
Wikipedia	rgn	2471	199	139	339	40	0	0	Wp/rgn
Wikivoyage	shn	2386	15	1189	564	8	0	0	Wy/shn
Wikipedia	ii	2360	117	904	149	10	0	0	Wp/ii
Wikivoyage	th	2341	83	349	271	14	13500	-1361	Wy/th
Wikipedia	sro	2308	43	572	576	6	210333	-320	Wp/sro
Wiktionary	lad	2296	29	600	286	5	0	-12	Wt/lad
Wikipedia	kjp	2294	66	797	8	5	28	0	Wp/kjp
Wikinews	ms	2253	85	507	46	8	13410	-15810	Wn/ms
Wikivoyage	cs	2214	172	545	345	34	43	0	Wy/cs
Wiktionary	pam	2119	50	502	526	6	0	0	Wt/pam
Wikipedia	sty	2069	103	362	273	19	34	-3	Wp/sty
Wikivoyage	ka	2053	51	297	163	8	0	0	Wy/ka
