Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	nup	Wp/nup	4489	43	21933	-805	605	436	15
Wikipedia	btm	Wp/btm	6845	139	5302	-109	2091	196	13
Wiktionary	mad	Wt/mad	6927	22	32848	-157	5414	324	12
Wikipedia	rsk	Wp/rsk	3392	28	270360	-11289	402	408	12
Wikipedia	dtp	Wp/dtp	8512	118	0	-116	2000	463	12
Wikipedia	cak	Wp/cak	1386	131	0	0	298	21	11
Wikipedia	iba	Wp/iba	995	46	816902	-9666	304	177	11
Wikiquote	gor	Wq/gor	2240	20	58167	-4126	255	559	11
Wikipedia	knc	Wp/knc	13998	78	26853	-1849	1282	500	10
Wikivoyage	cs	Wy/cs	5240	135	33107	-469	696	308	9
Wikinews	shn	Wn/shn	5037	20	267688	-4620	2284	443	9
Wiktionary	kaa	Wt/kaa	11086	26	0	0	5497	1449	8
Wikipedia	syl	Wp/syl	12837	70	158066	-579	2530	141	8
Wikipedia	mnc	Wp/mnc	22268	168	5350	-16	2906	63	7
Wikivoyage	id	Wy/id	18259	142	59684	-865	2508	104	7
Wiktionary	guc	Wt/guc	1983	50	0	0	753	177	7
Wikipedia	tdd	Wp/tdd	3174	39	121913	-745	873	248	6
Wikipedia	kge	Wp/kge	11600	31	563185	-14669	2285	724	6
Wikipedia	kus	Wp/kus	9537	66	0	0	1386	32	6
Wikipedia	ppl	Wp/ppl	3566	101	35949	-941	465	50	6
Wikipedia	lua	Wp/lua	931	22	3207	-5	294	94	6
Wikipedia	chn	Wp/chn	3514	38	900	-1267	346	409	5
Wikiquote	ha	Wq/ha	6583	43	174432	-527	1096	525	5
Wikipedia	rki	Wp/rki	7865	48	279537	-69	2535	184	5
Wikipedia	bew	Wp/bew	12070	93	0	0	2842	125	5
Wikivoyage	syl	Wy/syl	3295	20	62612	-858	690	160	5
Wikiquote	ms	Wq/ms	1819	94	78392	-582	769	77	5
Wikipedia	isv	Wp/isv	148	7	31692	-206	78	74	5
Wikiquote	syl	Wq/syl	2559	15	34466	-568	523	126	5
Wiktionary	ary	Wt/ary	4919	28	1082344	-669	1951	186	5
Wikipedia	grc	Wp/grc	24112	310	23892	-3060	3776	132	5
Wiktionary	bew	Wt/bew	1401	16	27112	-352	687	139	5
Wikivoyage	hbs	Wy/hbs	3255	38	29772	-4383	255	53	5
Wikipedia	mjx	Wp/mjx	140	7	19429	-22	44	70	5
Wikipedia	ryu	Wp/ryu	10660	211	509	-287	2981	8	4
Wiktionary	bto	Wt/bto	682	20	0	0	223	29	4
Wiktionary	syl	Wt/syl	3590	19	18627	0	2021	74	4
Wikipedia	kri	Wp/kri	2374	58	23	0	1323	99	4
Wikinews	syl	Wn/syl	4799	24	135083	0	1062	85	4
Wikipedia	bdr	Wp/bdr	2511	47	199890	-4023	1002	98	4
Wikipedia	kck	Wp/kck	1107	23	3556	-233	428	112	4
Wikipedia	mag	Wp/mag	8332	15	3006501	-10811	3504	1609	4
Wikipedia	jje	Wp/jje	4007	63	0	-5	951	4	4
Wikibooks	syl	Wb/syl	2239	18	50710	-164	435	101	4
Wikipedia	na	Wp/na	53592	1074	158	0	2292	6	4
Wikipedia	vai	Wp/vai	223	28	50585	-53562	71	11	4
Wikipedia	nr	Wp/nr	932	47	20138	-26	215	45	4
Wikibooks	nia	Wb/nia	9227	40	16731	-406	2048	129	4
Wikivoyage	diq	Wy/diq	8828	92	36	-93	1903	56	4
Wikipedia	vmf	Wp/vmf	5422	277	830	-96	396	12	4
Wikipedia	sdc	Wp/sdc	18249	95	1226	0	2443	14	4
Wikibooks	bcl	Wb/bcl	233	13	21398	-157	97	46	3
Wikipedia	ann	Wp/ann	2631	42	14065	-577	441	37	3
Wikipedia	cnr	Wp/cnr	12985	148	86	-102	2064	24	3
Wikiquote	sw	Wq/sw	775	44	22	0	508	59	3
Wikipedia	mrt	Wp/mrt	792	3	92618	-2166	105	512	3
Wikipedia	xkv	Wp/xkv	132	11	0	0	54	9	3
Wikipedia	krl	Wp/krl	9270	174	539	-520	2023	3	3
Wiktionary	iba	Wt/iba	19	3	0	-37	4	19	3
Wikivoyage	ar	Wy/ar	7909	386	278	-44	1600	20	3
Wikipedia	qug	Wp/qug	8455	70	0	0	1325	11	3
